ARIMA
FOODS_3_090
                       0             1
0                     FT      7.000000
1                      L      3.000000
2   target_service_level      0.900000
3              fill_rate      0.947548
4          service_level      0.949559
5         mean_inventory   1416.423093
6          max_inventory   2607.455125
7             lost_sales   2929.472840
8      out_of_stock_days     12.000000
9         inventory_days      9.257667
10            sum_orders  54944.042710
11          count_orders     48.000000
12            sum_demand  84097.000000
13         sum_forecasts  94157.201571
14                    ME    -17.649476
15                   MAE     69.415941
16                  RMSE     94.053383
17                 RMSSE      0.025132
18                 RMSsE      0.637483
19                   FD2      0.000005
20                   PLd      0.000012
21                    PL      0.000012
